"generator","source_type","grade","layout_mode","transformer_count","transformers"
"everest_mackenzie","photo","A","",4,"DataMoshTransformer(intensity=0.01) | FlipWilsonTransformer(keep=top_left,narrow=0.43) | KaleidoscopeTransformer(cx_off=0.04,cy_off=-0.03,segments=6) | RadialWarpTransformer(radius=0.25,strength=99.09339478006164,110.10638261983289,style=pull,push)"
"everest_mackenzie","photo","A","",2,"FlipWilsonTransformer(keep=bottom_left,narrow=0.38) | ThermalImagingTransformer(thermal=True)"
"everest_mackenzie","photo","A","",1,"WatercolorTransformer(scale=0.85,style=psychedelic)"
"fermiexclusion_hulet","photo","A","",4,"ChromaticAberrationTransformer(angle=194.30,edge_fade=1,shift=13.00) | DataMoshTransformer(intensity=0.01) | PixelSortTransformer(direction=cols,high=0.77,low=0.11,sort_key=green) | WheelTransformer(blend=lighter,copies=4)"
"g21_xray_c100","photo","A","",3,"ColormapTransformer(map=hsv) | FractalWarpTransformer(iter=1,scale=0.05) | WheelTransformer(blend=normal,copies=4)"
"g292chandra","photo","B","",4,"FisheyeTransformer(shape=circle,strength=0.72,zoom=0.92) | FluidWarpTransformer(alpha=14.37,sigma=7.97) | FractalWarpTransformer(iter=1,scale=0.05) | WheelTransformer(blend=lighter,copies=3)"
"galcenter_msx_c1","photo","A","",4,"KaleidoscopeTransformer(cx_off=0.04,cy_off=-0.03,segments=8) | PixelSortTransformer(direction=cols,high=0.69,low=0.21,sort_key=green) | RadialWarpTransformer(radius=0.25,strength=130.95085994278276,style=push) | ThermalImagingTransformer(thermal=True)"
"gaspra_galileo","photo","A","",3,"ChromaticAberrationTransformer(angle=348.60,edge_fade=1,shift=16.60) | FluidWarpTransformer(alpha=18.66,sigma=4.34) | MeltMorphTransformer(intensity=0.50)"
"gegenschein_eso","photo","A","",3,"ColormapTransformer(map=hsv) | OilPaintingTransformer(dyn_ratio=4,size=7) | RadialWarpTransformer(radius=0.25,strength=62.28038124076395,style=push)"
"graywine_integral","photo","A","",1,"FlipWilsonTransformer(keep=top_left,narrow=0.25)"
"grb060218_sdssswift","photo","B","",4,"DataMoshTransformer(intensity=0.02) | GlitchWarpTransformer(intensity=0.01) | SwirlWarpTransformer(strength=1.50) | WheelTransformer(blend=add,copies=3)"
"horsehead_noao","photo","A","",1,"ColormapTransformer(map=jet)"
"ic1848_WISEantonucci","photo","A","",3,"ColormapTransformer(map=ocean) | FisheyeTransformer(shape=circle,strength=0.65,zoom=1.03) | FractalWarpTransformer(iter=1,scale=0.05)"
"ic410_WISEantonucci","photo","A","",4,"KaleidoscopeTransformer(cx_off=0.06,cy_off=0.06,segments=12) | OilPaintingTransformer(dyn_ratio=5,size=4) | PosterizationTransformer(levels=4) | WheelTransformer(blend=normal,copies=4)"
"ic4603_stevens","photo","C","",1,"FluidWarpTransformer(alpha=5.46,sigma=1.69)"
"ic4603_yoshida","photo","A","",3,"ChromaticAberrationTransformer(angle=89.70,edge_fade=1,shift=13.70) | ColormapTransformer(map=winter) | RadialWarpTransformer(radius=0.25,strength=100.95131823682429,125.7091322848941,121.33771210471502,style=pull,pull,push)"
"impact13sec_deepimpact_hri","photo","A","",1,"WheelTransformer(blend=normal,copies=3)"
"intrepid_opportunity","photo","A","",4,"ChromaticAberrationTransformer(angle=1.60,edge_fade=1,shift=4.70) | RadialWarpTransformer(radius=0.25,strength=128.60782164922813,119.3620855568765,style=pull,push) | VoronoiTransformer(edge_blend=1,num_points=180) | WatercolorTransformer(scale=0.85,style=monet)"
"ipolar_garlick","photo","A","",3,"FlipWilsonTransformer(keep=left,narrow=0.49) | FluidWarpTransformer(alpha=4.36,sigma=1.32) | HalftoneTransformer(size=2)"
"iridescence_koch","generated","A","",3,"DataMoshTransformer(intensity=0.01) | OilPaintingTransformer(dyn_ratio=1,size=7) | PixelSortTransformer(direction=cols,high=0.75,low=0.27,sort_key=saturation)"
"iss025e010008_900c","photo","A","",4,"ChromaticAberrationTransformer(angle=298.80,edge_fade=1,shift=6.80) | FisheyeTransformer(shape=circle,strength=0.54,zoom=0.90) | MeltMorphTransformer(intensity=0.50) | PixelSortTransformer(direction=cols,high=0.91,low=0.08,sort_key=brightness)"
"iss025e010008_900c","photo","C","",4,"FisheyeTransformer(shape=circle,strength=0.75,zoom=0.92) | GlitchWarpTransformer(intensity=0.01) | OilPaintingTransformer(dyn_ratio=1,size=5) | WheelTransformer(blend=normal,copies=5)"
"iss028e024847perseid900","photo","B","",4,"GlitchWarpTransformer(intensity=0.01) | PixelSortTransformer(direction=cols,high=0.61,low=0.25,sort_key=brightness) | StippleTransformer(bg=white,dot_radius=5,jitter=1,spacing=19) | VoronoiTransformer(edge_blend=1,num_points=138)"
"iss072e574593_DonPetit1024","photo","A","",2,"PosterizationTransformer(levels=4) | RadialWarpTransformer(radius=0.25,strength=46.640559753087075,style=push)"
"iss_sts108","photo","A","",1,"HalftoneTransformer(size=2)"
"itokawa05_hayabusa","photo","A","",1,"FractalWarpTransformer(iter=1,scale=0.05)"
"itokawa2_hayabusa","photo","A","",2,"FluidWarpTransformer(alpha=4.40,sigma=4.99) | SwirlWarpTransformer(strength=1.50)"
"ivan_iss","photo","A","",1,"FisheyeTransformer(shape=circle,strength=0.61,zoom=0.97)"
"jkcs041_chandra","photo","F","",3,"FisheyeTransformer(shape=oval,strength=0.70,zoom=1.13) | PixelSortTransformer(direction=cols,high=0.93,low=0.27,sort_key=red) | VoronoiTransformer(edge_blend=1,num_points=282)"
"jupiterpersonvenus_nikodem","photo","F","",4,"FisheyeTransformer(shape=oval,strength=0.71,zoom=1.05) | FlipWilsonTransformer(keep=top,narrow=0.33) | StippleTransformer(bg=black,dot_radius=3,jitter=1,spacing=9) | SwirlWarpTransformer(strength=1.50)"
"jupredspot_vg2","photo","A","",1,"ColormapTransformer(map=winter)"
"labs900_multiCXC","photo","A","",4,"FractalWarpTransformer(iter=1,scale=0.05) | GlitchWarpTransformer(intensity=0.01) | SwirlWarpTransformer(strength=1.50) | VoronoiTransformer(edge_blend=1,num_points=231)"
"lasergalaxy_beletsky","photo","A","",4,"FisheyeTransformer(shape=circle,strength=0.21,zoom=1.15) | HalftoneTransformer(size=2) | MeltMorphTransformer(intensity=0.50) | ThermalImagingTransformer(thermal=True)"
"lmc_comolli","photo","B","",4,"ChromaticAberrationTransformer(angle=181.20,edge_fade=1,shift=9.90) | FisheyeTransformer(shape=oval,strength=0.58,zoom=1.14) | FluidWarpTransformer(alpha=15.51,sigma=1.57) | PixelSortTransformer(direction=rows,high=0.90,low=0.08,sort_key=brightness)"
"lojong","lojong","A","scatter",4,"ChromaticAberrationTransformer(angle=102.10,edge_fade=1,shift=7.80) | ColormapTransformer(map=cool) | HalftoneTransformer(size=2) | OilPaintingTransformer(dyn_ratio=5,size=5)"
"lojong","lojong","A","tile",4,"ChromaticAberrationTransformer(angle=111.30,edge_fade=1,shift=5.00) | GlitchWarpTransformer(intensity=0.01) | RadialWarpTransformer(radius=0.25,strength=107.46039590468084,style=push) | WheelTransformer(blend=lighter,copies=5)"
"lojong","lojong","A","columns",3,"ChromaticAberrationTransformer(angle=121.70,edge_fade=1,shift=9.80) | FractalWarpTransformer(iter=1,scale=0.05) | PosterizationTransformer(levels=4)"
"lojong","lojong","A","scatter",4,"ChromaticAberrationTransformer(angle=126.90,edge_fade=1,shift=16.30) | MeltMorphTransformer(intensity=0.50) | OilPaintingTransformer(dyn_ratio=8,size=5) | VoronoiTransformer(edge_blend=1,num_points=60)"
"lojong","lojong","A","scatter",4,"ChromaticAberrationTransformer(angle=162.70,edge_fade=1,shift=12.30) | SwirlWarpTransformer(strength=1.50) | ThermalImagingTransformer(thermal=True) | WheelTransformer(blend=normal,copies=3)"
"lojong","lojong","A","columns",2,"ChromaticAberrationTransformer(angle=169.80,edge_fade=1,shift=13.20) | FractalWarpTransformer(iter=1,scale=0.05)"
"lojong","lojong","A","hero",4,"ChromaticAberrationTransformer(angle=185.10,edge_fade=1,shift=13.90) | FractalWarpTransformer(iter=1,scale=0.05) | HalftoneTransformer(size=2) | WheelTransformer(blend=lighter,copies=5)"
"lojong","lojong","A","scatter",4,"ChromaticAberrationTransformer(angle=208.80,edge_fade=1,shift=12.20) | FluidWarpTransformer(alpha=2.59,sigma=1.04) | FractalWarpTransformer(iter=1,scale=0.05) | WheelTransformer(blend=add,copies=3)"
"lojong","lojong","A","hero",4,"ChromaticAberrationTransformer(angle=209.30,edge_fade=1,shift=8.80) | ColormapTransformer(map=hot) | MeltMorphTransformer(intensity=0.50) | VoronoiTransformer(edge_blend=1,num_points=193)"
"lojong","lojong","A","columns",4,"ChromaticAberrationTransformer(angle=234.00,edge_fade=1,shift=12.60) | FractalWarpTransformer(iter=1,scale=0.05) | HalftoneTransformer(size=2) | WatercolorTransformer(scale=0.85,style=monet)"
"lojong","lojong","A","hero",3,"ChromaticAberrationTransformer(angle=252.00,edge_fade=1,shift=4.30) | FractalWarpTransformer(iter=1,scale=0.05) | SwirlWarpTransformer(strength=1.50)"
"lojong","lojong","A","scatter",2,"ChromaticAberrationTransformer(angle=252.60,edge_fade=1,shift=11.20) | WheelTransformer(blend=lighter,copies=3)"
"lojong","lojong","A","tile",2,"ChromaticAberrationTransformer(angle=254.70,edge_fade=1,shift=13.20) | RadialWarpTransformer(radius=0.25,strength=92.99390523403844,71.65290219262232,67.0037426125822,style=pull,pull,pull)"
"lojong","lojong","A","scatter",4,"ChromaticAberrationTransformer(angle=277.00,edge_fade=1,shift=14.60) | OilPaintingTransformer(dyn_ratio=1,size=6) | RadialWarpTransformer(radius=0.25,strength=121.10666814689779,65.01484727973212,style=pull,push) | WheelTransformer(blend=lighter,copies=5)"
"lojong","lojong","A","tile",1,"ChromaticAberrationTransformer(angle=277.30,edge_fade=1,shift=13.30)"
"lojong","lojong","A","hero",3,"ChromaticAberrationTransformer(angle=295.00,edge_fade=1,shift=6.10) | SwirlWarpTransformer(strength=1.50) | VoronoiTransformer(edge_blend=1,num_points=337)"
"lojong","lojong","A","scatter",2,"ChromaticAberrationTransformer(angle=299.10,edge_fade=1,shift=17.60) | ThermalImagingTransformer(thermal=True)"
"lojong","lojong","A","columns",4,"ChromaticAberrationTransformer(angle=356.60,edge_fade=1,shift=17.90) | ColormapTransformer(map=autumn) | PixelSortTransformer(direction=rows,high=0.69,low=0.13,sort_key=brightness) | ThermalImagingTransformer(thermal=True)"
"lojong","lojong","A","scatter",4,"ChromaticAberrationTransformer(angle=70.20,edge_fade=1,shift=13.20) | DataMoshTransformer(intensity=0.01) | SwirlWarpTransformer(strength=1.50) | WheelTransformer(blend=add,copies=4)"
"lojong","lojong","A","scatter",1,"ColormapTransformer(map=autumn)"
"lojong","lojong","A","tile",3,"ColormapTransformer(map=autumn) | GlitchWarpTransformer(intensity=0.01) | PosterizationTransformer(levels=4)"
"lojong","lojong","A","hero",3,"ColormapTransformer(map=autumn) | HalftoneTransformer(size=2) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"lojong","lojong","A","scatter",4,"ColormapTransformer(map=bone) | FractalWarpTransformer(iter=1,scale=0.05) | PixelSortTransformer(direction=cols,high=0.88,low=0.24,sort_key=green) | PosterizationTransformer(levels=4)"
"lojong","lojong","A","scatter",3,"ColormapTransformer(map=cool) | GlitchWarpTransformer(intensity=0.01) | WheelTransformer(blend=add,copies=4)"
"lojong","lojong","A","columns",3,"ColormapTransformer(map=hot) | DataMoshTransformer(intensity=0.01) | WatercolorTransformer(scale=0.85,style=monet)"
"lojong","lojong","A","columns",3,"ColormapTransformer(map=hot) | FractalWarpTransformer(iter=1,scale=0.05) | ThermalImagingTransformer(thermal=True)"
"lojong","lojong","A","columns",2,"ColormapTransformer(map=hot) | SwirlWarpTransformer(strength=1.50)"
"lojong","lojong","A","scatter",2,"ColormapTransformer(map=hsv) | GlitchWarpTransformer(intensity=0.01)"
"lojong","lojong","A","columns",3,"ColormapTransformer(map=jet) | ThermalImagingTransformer(thermal=True) | WatercolorTransformer(scale=0.85,style=monet)"
"lojong","lojong","A","tile",2,"ColormapTransformer(map=ocean) | RadialWarpTransformer(radius=0.25,strength=39.9784065813795,76.8492809946471,style=push,push)"
"lojong","lojong","A","tile",2,"ColormapTransformer(map=spring) | MeltMorphTransformer(intensity=0.50)"
"lojong","lojong","A","hero",4,"ColormapTransformer(map=summer) | OilPaintingTransformer(dyn_ratio=7,size=5) | SwirlWarpTransformer(strength=1.50) | WheelTransformer(blend=add,copies=4)"
"lojong","lojong","A","scatter",2,"ColormapTransformer(map=summer) | VoronoiTransformer(edge_blend=1,num_points=146)"
"lojong","lojong","A","scatter",3,"DataMoshTransformer(intensity=0.01) | FisheyeTransformer(shape=circle,strength=0.70,zoom=0.87) | WheelTransformer(blend=add,copies=4)"
"lojong","lojong","A","hero",3,"DataMoshTransformer(intensity=0.01) | FisheyeTransformer(shape=oval,strength=0.77,zoom=0.86) | VoronoiTransformer(edge_blend=1,num_points=350)"
"lojong","lojong","A","columns",3,"DataMoshTransformer(intensity=0.01) | FractalWarpTransformer(iter=1,scale=0.05) | RadialWarpTransformer(radius=0.25,strength=82.7345475566213,88.9855423464818,style=pull,pull)"
"lojong","lojong","A","scatter",3,"DataMoshTransformer(intensity=0.01) | FractalWarpTransformer(iter=1,scale=0.05) | WheelTransformer(blend=normal,copies=4)"
"lojong","lojong","A","hero",4,"DataMoshTransformer(intensity=0.01) | HalftoneTransformer(size=2) | PixelSortTransformer(direction=cols,high=0.56,low=0.16,sort_key=brightness) | WheelTransformer(blend=add,copies=4)"
"lojong","lojong","A","tile",2,"DataMoshTransformer(intensity=0.01) | VoronoiTransformer(edge_blend=1,num_points=141)"
"lojong","lojong","A","columns",4,"DataMoshTransformer(intensity=0.02) | FlipWilsonTransformer(keep=top_right,narrow=0.31) | VoronoiTransformer(edge_blend=1,num_points=66) | WheelTransformer(blend=add,copies=3)"
"lojong","lojong","A","hero",3,"DataMoshTransformer(intensity=0.02) | FractalWarpTransformer(iter=1,scale=0.05) | RadialWarpTransformer(radius=0.25,strength=87.28465017497305,137.58567488618968,style=push,pull)"
"lojong","lojong","A","columns",3,"DataMoshTransformer(intensity=0.02) | FractalWarpTransformer(iter=1,scale=0.05) | WheelTransformer(blend=normal,copies=5)"
"lojong","lojong","A","columns",3,"DataMoshTransformer(intensity=0.02) | HalftoneTransformer(size=2) | MeltMorphTransformer(intensity=0.50)"
"lojong","lojong","A","columns",3,"DataMoshTransformer(intensity=0.02) | HalftoneTransformer(size=2) | RadialWarpTransformer(radius=0.25,strength=95.1169074300307,54.041516089255204,74.5549726263449,style=pull,push,push)"
"lojong","lojong","A","hero",2,"DataMoshTransformer(intensity=0.02) | MeltMorphTransformer(intensity=0.50)"
"lojong","lojong","A","columns",2,"DataMoshTransformer(intensity=0.02) | PixelSortTransformer(direction=rows,high=0.85,low=0.34,sort_key=green)"
"lojong","lojong","A","scatter",3,"FisheyeTransformer(shape=circle,strength=0.24,zoom=1.13) | PosterizationTransformer(levels=4) | VoronoiTransformer(edge_blend=1,num_points=153)"
"lojong","lojong","A","scatter",2,"FisheyeTransformer(shape=circle,strength=0.34,zoom=1.15) | WheelTransformer(blend=add,copies=3)"
"lojong","lojong","A","scatter",2,"FisheyeTransformer(shape=oval,strength=0.43,zoom=0.92) | GlitchWarpTransformer(intensity=0.01)"
"lojong","lojong","A","tile",4,"FisheyeTransformer(shape=oval,strength=0.79,zoom=1.06) | FractalWarpTransformer(iter=1,scale=0.05) | PosterizationTransformer(levels=4) | WheelTransformer(blend=lighter,copies=4)"
"lojong","lojong","A","scatter",1,"FlipWilsonTransformer(keep=bottom,narrow=0.20)"
"lojong","lojong","A","scatter",3,"FlipWilsonTransformer(keep=bottom_left,narrow=0.26) | MeltMorphTransformer(intensity=0.50) | OilPaintingTransformer(dyn_ratio=2,size=4)"
"lojong","lojong","A","tile",2,"FlipWilsonTransformer(keep=bottom_left,narrow=0.38) | WheelTransformer(blend=lighter,copies=4)"
"lojong","lojong","A","hero",3,"FlipWilsonTransformer(keep=bottom_left,narrow=0.48) | PixelSortTransformer(direction=rows,high=0.75,low=0.05,sort_key=brightness) | SwirlWarpTransformer(strength=1.50)"
"lojong","lojong","A","hero",2,"FlipWilsonTransformer(keep=bottom_right,narrow=0.46) | PixelSortTransformer(direction=rows,high=0.92,low=0.25,sort_key=saturation)"
"lojong","lojong","A","columns",2,"FlipWilsonTransformer(keep=bottom_right,narrow=0.46) | SwirlWarpTransformer(strength=1.50)"
"lojong","lojong","A","tile",1,"FlipWilsonTransformer(keep=top_left,narrow=0.25)"
"lojong","lojong","A","scatter",4,"FlipWilsonTransformer(keep=top_left,narrow=0.25) | GlitchWarpTransformer(intensity=0.01) | SwirlWarpTransformer(strength=1.50) | VoronoiTransformer(edge_blend=1,num_points=139)"
"lojong","lojong","A","tile",4,"FlipWilsonTransformer(keep=top_left,narrow=0.38) | OilPaintingTransformer(dyn_ratio=4,size=8) | SwirlWarpTransformer(strength=1.50) | VoronoiTransformer(edge_blend=1,num_points=206)"
"lojong","lojong","A","tile",2,"FlipWilsonTransformer(keep=top_left,narrow=0.43) | RadialWarpTransformer(radius=0.25,strength=118.82163846990971,103.63197350028858,134.34922692546434,style=pull,pull,push)"
"lojong","lojong","A","columns",4,"FlipWilsonTransformer(keep=top_left,narrow=0.43) | SwirlWarpTransformer(strength=1.50) | ThermalImagingTransformer(thermal=True) | WatercolorTransformer(scale=0.85,style=monet)"
"lojong","lojong","A","columns",1,"FluidWarpTransformer(alpha=11.43,sigma=2.87)"
"lojong","lojong","A","columns",3,"FluidWarpTransformer(alpha=12.32,sigma=4.80) | HalftoneTransformer(size=2) | PixelSortTransformer(direction=rows,high=0.88,low=0.16,sort_key=blue)"
"lojong","lojong","A","scatter",2,"FluidWarpTransformer(alpha=14.17,sigma=1.80) | ThermalImagingTransformer(thermal=True)"
"lojong","lojong","A","scatter",2,"FluidWarpTransformer(alpha=16.62,sigma=5.62) | SwirlWarpTransformer(strength=1.50)"
"lojong","lojong","A","columns",4,"FluidWarpTransformer(alpha=5.78,sigma=3.82) | GlitchWarpTransformer(intensity=0.01) | HalftoneTransformer(size=2) | PosterizationTransformer(levels=4)"
"lojong","lojong","A","scatter",1,"FluidWarpTransformer(alpha=5.94,sigma=5.81)"
"lojong","lojong","A","tile",2,"FluidWarpTransformer(alpha=8.93,sigma=7.15) | WheelTransformer(blend=lighter,copies=4)"
"lojong","lojong","A","columns",1,"FractalWarpTransformer(iter=1,scale=0.05)"
"lojong","lojong","A","columns",2,"FractalWarpTransformer(iter=1,scale=0.05) | GlitchWarpTransformer(intensity=0.01)"
"lojong","lojong","A","hero",3,"FractalWarpTransformer(iter=1,scale=0.05) | GlitchWarpTransformer(intensity=0.01) | MeltMorphTransformer(intensity=0.50)"
"lojong","lojong","A","columns",4,"FractalWarpTransformer(iter=1,scale=0.05) | GlitchWarpTransformer(intensity=0.01) | OilPaintingTransformer(dyn_ratio=4,size=4) | WheelTransformer(blend=lighter,copies=5)"
"lojong","lojong","A","hero",3,"FractalWarpTransformer(iter=1,scale=0.05) | GlitchWarpTransformer(intensity=0.01) | WheelTransformer(blend=lighter,copies=5)"
"lojong","lojong","A","scatter",3,"FractalWarpTransformer(iter=1,scale=0.05) | MeltMorphTransformer(intensity=0.50) | WheelTransformer(blend=lighter,copies=4)"
"lojong","lojong","A","columns",3,"FractalWarpTransformer(iter=1,scale=0.05) | MeltMorphTransformer(intensity=0.50) | WheelTransformer(blend=normal,copies=3)"
"lojong","lojong","A","columns",3,"FractalWarpTransformer(iter=1,scale=0.05) | OilPaintingTransformer(dyn_ratio=3,size=5) | VoronoiTransformer(edge_blend=1,num_points=223)"
"lojong","lojong","A","columns",3,"FractalWarpTransformer(iter=1,scale=0.05) | OilPaintingTransformer(dyn_ratio=4,size=4) | RadialWarpTransformer(radius=0.25,strength=112.17336936911269,style=pull)"
"lojong","lojong","A","tile",3,"FractalWarpTransformer(iter=1,scale=0.05) | PixelSortTransformer(direction=cols,high=0.94,low=0.26,sort_key=brightness) | WheelTransformer(blend=add,copies=3)"
"lojong","lojong","A","hero",3,"FractalWarpTransformer(iter=1,scale=0.05) | RadialWarpTransformer(radius=0.25,strength=130.1075857715745,118.93366279420303,style=pull,push) | ThermalImagingTransformer(thermal=True)"
"lojong","lojong","A","hero",1,"GlitchWarpTransformer(intensity=0.01)"
"lojong","lojong","A","hero",1,"GlitchWarpTransformer(intensity=0.01)"
"lojong","lojong","A","scatter",2,"GlitchWarpTransformer(intensity=0.01) | HalftoneTransformer(size=2)"
"lojong","lojong","A","tile",2,"GlitchWarpTransformer(intensity=0.01) | PosterizationTransformer(levels=4)"
"lojong","lojong","A","hero",2,"GlitchWarpTransformer(intensity=0.01) | VoronoiTransformer(edge_blend=1,num_points=122)"
"lojong","lojong","A","hero",4,"HalftoneTransformer(size=2) | PixelSortTransformer(direction=rows,high=0.60,low=0.27,sort_key=brightness) | WatercolorTransformer(scale=0.85,style=monet) | WheelTransformer(blend=lighter,copies=5)"
"lojong","lojong","A","columns",3,"HalftoneTransformer(size=2) | PixelSortTransformer(direction=rows,high=0.62,low=0.09,sort_key=red) | WheelTransformer(blend=add,copies=4)"
"lojong","lojong","A","scatter",3,"HalftoneTransformer(size=2) | PosterizationTransformer(levels=4) | WheelTransformer(blend=add,copies=4)"
"lojong","lojong","A","columns",3,"HalftoneTransformer(size=2) | RadialWarpTransformer(radius=0.25,strength=79.77499819961592,style=pull) | VoronoiTransformer(edge_blend=1,num_points=162)"
"lojong","lojong","A","scatter",1,"MeltMorphTransformer(intensity=0.50)"
"lojong","lojong","A","columns",1,"MeltMorphTransformer(intensity=0.50)"
"lojong","lojong","A","scatter",4,"MeltMorphTransformer(intensity=0.50) | PosterizationTransformer(levels=4) | SwirlWarpTransformer(strength=1.50) | VoronoiTransformer(edge_blend=1,num_points=83)"
"lojong","lojong","A","scatter",2,"MeltMorphTransformer(intensity=0.50) | VoronoiTransformer(edge_blend=1,num_points=255)"
"lojong","lojong","A","scatter",2,"OilPaintingTransformer(dyn_ratio=1,size=3) | RadialWarpTransformer(radius=0.25,strength=112.49602063974832,67.92174470934006,96.25309701826865,style=push,pull,pull)"
"lojong","lojong","A","scatter",2,"OilPaintingTransformer(dyn_ratio=1,size=5) | WheelTransformer(blend=normal,copies=3)"
"lojong","lojong","A","tile",2,"OilPaintingTransformer(dyn_ratio=3,size=3) | PixelSortTransformer(direction=rows,high=0.90,low=0.09,sort_key=saturation)"
"lojong","lojong","A","columns",3,"OilPaintingTransformer(dyn_ratio=5,size=3) | ThermalImagingTransformer(thermal=True) | WheelTransformer(blend=lighter,copies=3)"
"lojong","lojong","A","scatter",2,"OilPaintingTransformer(dyn_ratio=8,size=8) | VoronoiTransformer(edge_blend=1,num_points=270)"
"lojong","lojong","A","scatter",1,"PixelSortTransformer(direction=cols,high=0.61,low=0.20,sort_key=brightness)"
"lojong","lojong","A","tile",2,"PixelSortTransformer(direction=cols,high=0.80,low=0.29,sort_key=green) | ThermalImagingTransformer(thermal=True)"
"lojong","lojong","A","columns",2,"PixelSortTransformer(direction=rows,high=0.55,low=0.21,sort_key=red) | WheelTransformer(blend=lighter,copies=5)"
"lojong","lojong","A","tile",3,"PixelSortTransformer(direction=rows,high=0.71,low=0.15,sort_key=green) | RadialWarpTransformer(radius=0.25,strength=101.73446545585577,style=pull) | WheelTransformer(blend=add,copies=4)"
"lojong","lojong","A","hero",1,"PixelSortTransformer(direction=rows,high=0.71,low=0.21,sort_key=saturation)"
"lojong","lojong","A","tile",1,"PixelSortTransformer(direction=rows,high=0.82,low=0.34,sort_key=brightness)"
"lojong","lojong","A","tile",3,"PixelSortTransformer(direction=rows,high=0.87,low=0.11,sort_key=blue) | ThermalImagingTransformer(thermal=True) | WheelTransformer(blend=normal,copies=3)"
"lojong","lojong","A","scatter",1,"PosterizationTransformer(levels=4)"
"lojong","lojong","A","columns",1,"PosterizationTransformer(levels=4)"
"lojong","lojong","A","scatter",4,"PosterizationTransformer(levels=4) | RadialWarpTransformer(radius=0.25,strength=83.79899969885389,style=push) | VoronoiTransformer(edge_blend=1,num_points=143) | WheelTransformer(blend=add,copies=3)"
"lojong","lojong","A","tile",2,"PosterizationTransformer(levels=4) | SwirlWarpTransformer(strength=1.50)"
"lojong","lojong","A","scatter",3,"PosterizationTransformer(levels=4) | SwirlWarpTransformer(strength=1.50) | WheelTransformer(blend=lighter,copies=5)"
"lojong","lojong","A","scatter",3,"PosterizationTransformer(levels=4) | ThermalImagingTransformer(thermal=True) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"lojong","lojong","A","columns",3,"PosterizationTransformer(levels=4) | VoronoiTransformer(edge_blend=1,num_points=119) | WheelTransformer(blend=normal,copies=4)"
"lojong","lojong","A","tile",3,"PosterizationTransformer(levels=4) | VoronoiTransformer(edge_blend=1,num_points=61) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"lojong","lojong","A","tile",1,"RadialWarpTransformer(radius=0.25,strength=115.24977885154622,51.5727856685842,style=push,pull)"
"lojong","lojong","A","columns",1,"RadialWarpTransformer(radius=0.25,strength=134.55614826478143,style=pull)"
"lojong","lojong","A","tile",2,"RadialWarpTransformer(radius=0.25,strength=137.741833828518,style=pull) | WheelTransformer(blend=lighter,copies=5)"
"lojong","lojong","A","columns",1,"RadialWarpTransformer(radius=0.25,strength=38.583608050470474,56.46580576741775,87.96213307866395,style=pull,pull,push)"
"lojong","lojong","A","columns",1,"RadialWarpTransformer(radius=0.25,strength=43.67120151584753,129.73855662063676,style=push,pull)"
"lojong","lojong","A","columns",3,"RadialWarpTransformer(radius=0.25,strength=66.97847565054707,style=push) | StippleTransformer(bg=black,dot_radius=6,jitter=1,spacing=12) | WheelTransformer(blend=normal,copies=3)"
"lojong","lojong","A","scatter",1,"RadialWarpTransformer(radius=0.25,strength=73.11778516430624,111.30159086003918,80.90209710503281,style=push,pull,pull)"
"lojong","lojong","A","columns",3,"StippleTransformer(bg=complement,dot_radius=2,jitter=1,spacing=8) | SwirlWarpTransformer(strength=1.50) | WheelTransformer(blend=lighter,copies=5)"
"lojong","lojong","A","hero",1,"SwirlWarpTransformer(strength=1.50)"
"lojong","lojong","A","columns",1,"SwirlWarpTransformer(strength=1.50)"
"lojong","lojong","A","hero",1,"SwirlWarpTransformer(strength=1.50)"
"lojong","lojong","A","columns",1,"SwirlWarpTransformer(strength=1.50)"
"lojong","lojong","A","hero",3,"SwirlWarpTransformer(strength=1.50) | VoronoiTransformer(edge_blend=1,num_points=288) | WheelTransformer(blend=normal,copies=4)"
"lojong","lojong","A","scatter",1,"ThermalImagingTransformer(thermal=True)"
"lojong","lojong","A","columns",1,"ThermalImagingTransformer(thermal=True)"
"lojong","lojong","A","tile",1,"ThermalImagingTransformer(thermal=True)"
"lojong","lojong","A","hero",1,"VoronoiTransformer(edge_blend=1,num_points=253)"
"lojong","lojong","A","scatter",1,"VoronoiTransformer(edge_blend=1,num_points=283)"
"lojong","lojong","A","scatter",1,"VoronoiTransformer(edge_blend=1,num_points=327)"
"lojong","lojong","A","columns",1,"WheelTransformer(blend=add,copies=3)"
"lojong","lojong","A","scatter",1,"WheelTransformer(blend=add,copies=3)"
"lojong","lojong","A","hero",1,"WheelTransformer(blend=add,copies=3)"
"lojong","lojong","A","scatter",1,"WheelTransformer(blend=lighter,copies=4)"
"lojong","lojong","A","hero",1,"WheelTransformer(blend=normal,copies=4)"
"lojong","lojong","A","tile",1,"WheelTransformer(blend=normal,copies=4)"
"lojong","lojong","B","tile",2,"ChromaticAberrationTransformer(angle=187.80,edge_fade=1,shift=5.10) | FractalWarpTransformer(iter=1,scale=0.05)"
