1146,1.58
1146,8.58
1148,8.32
1151,0.65
1153,4.72
1154,9.72
1157,2.85
1173,3.00
1173,9.65
1175,9.13
1177,9.76
1179,5.77
1179,5.92
1180,1.93
1186,7.35
1191,4.71
1194,4.18
1196,7.76
1201,4.86
1204,7.65
1207,1.89
121,12.94
1216,8.29
1219,5.84
1219,5.93
122,12.28
1226,6.80
1226,7.07
1230,6.74
1230,9.97
1232,9.36
1236,5.38
1237,0.84
1237,6.48
1242,2.43
1242,7.63
1246,2.12
1246,4.79
1248,9.58
1249,7.25
1251,5.47
1263,4.19
1267,1.11
1267,6.47
1268,2.68
1269,0.60
1270,1.44
1273,9.91
1276,7.39
1277,3.88
1284,7.68
1288,9.34
1291,9.12
1293,4.97
1293,9.34
1300,6.25
1301,7.08
1304,1.96
1306,2.23
1308,1.62
1308,6.58
1308,8.57
1312,2.08
1312,2.25
1312,9.75
1314,0.78
1319,8.32
1320,1.47
1325,8.61
1327,7.35
1328,8.58
1334,9.36
1336,4.72
1350,8.05
1351,8.01
1352,4.10
1352,4.51
1352,9.90
1356,0.61
1359,7.92
1360,4.91
1361,2.91
1366,8.36
1368,0.73
1368,5.56
1369,3.85
1369,7.59
137,13.68
1372,8.34
1373,6.31
1374,2.78
1377,5.48
1380,2.75
1381,8.19
1384,3.70
1392,1.31
1392,3.49
1395,1.34
1400,5.45
1411,9.67
1414,4.12
1414,8.08
1420,8.00
1423,7.26
1425,2.23
1429,0.84
1429,9.49
1430,8.83
1432,1.03
1434,6.80
1435,2.29
1444,9.52
1445,9.56
1446,9.22
1447,1.16
1447,6.86
1449,0.84
1452,9.71
1458,4.33
1471,2.73
1473,4.56
1485,1.31
1486,4.86
1489,5.56
1490,1.16
1496,9.07
1499,2.15
1500,8.75
1503,9.13
1504,9.26
1506,0.47
1510,3.04
1510,4.07
1510,4.31
1519,2.04
1519,7.47
1523,1.07
1523,3.69
1525,1.11
1527,2.67
1527,5.71
1530,4.33
1535,6.00
1537,7.51
1539,3.94
1540,6.02
1543,5.88
1544,4.17
1546,6.03
1550,6.39
1552,2.39
1553,6.65
1556,6.13
1563,2.89
1565,8.93
1566,3.39
1571,2.28
1571,8.20
1572,1.41
1573,7.18
1575,8.88
1577,7.98
1582,9.51
1584,0.84
1585,3.88
1585,7.22
1590,0.48
1595,9.21
1596,7.53
1600,6.84
1601,6.96
1603,4.15
1603,6.15
1606,9.06
1608,2.57
1610,3.63
1616,1.77
1618,8.17
1618,9.83
1620,0.85
1625,7.13
1631,4.37
1631,4.68
163,15.65
1638,7.48
1640,3.38
1640,6.67
1643,5.27
1648,6.85
1650,2.69
1651,3.58
1654,0.83
1655,6.22
1664,5.47
1665,4.54
1669,1.22
1677,3.99
1678,9.61
1684,6.72
1684,9.21
1687,8.96
1693,3.79
1701,3.12
1701,8.76
1702,7.70
1706,9.40
1707,4.08
1710,5.30
1710,8.19
1712,0.47
1714,3.69
1714,3.71
1714,6.22
1717,0.46
1718,1.44
1719,2.55
1720,0.65
1721,2.94
1722,2.17
1727,0.60
1729,7.33
1730,2.64
1732,9.52
1737,7.65
1737,8.09
1738,1.47
1743,3.78
1746,3.02
1749,8.56
1749,9.60
1750,6.65
1751,0.33
175,14.32
1751,6.99
1755,9.10
1758,8.49
1759,2.70
1761,6.73
1761,8.47
1762,0.61
1766,6.90
1766,8.25
1768,8.83
1770,0.97
1770,9.69
177,15.03
1772,4.70
1772,4.91
1772,7.40
1780,9.30
1783,5.52
1785,6.47
1787,9.11
1788,8.95
1789,3.78
1791,8.89
1798,4.75
1801,3.93
1802,7.88
1807,6.54
1808,1.41
1809,2.94
1810,9.48
1812,3.62
1823,6.58
1825,6.16
1825,9.52
1831,3.84
1835,6.39
1835,6.99
1838,5.79
1846,6.51
1850,0.54
1851,2.76
1852,1.77
1853,9.98
1855,2.44
1859,5.78
1862,6.98
1864,5.82
1865,6.15
1867,1.65
1870,9.38
1872,2.53
1873,5.07
1878,7.64
1880,0.65
1880,9.90
1883,5.50
1883,9.54
1890,9.18
189,13.90
1893,7.43
1894,5.28
1894,7.57
1895,4.33
1895,7.78
1897,4.56
1897,6.29
1903,1.58
1903,2.77
1904,5.99
1910,7.39
1911,4.28
1915,8.98
1921,0.86
1923,6.84
1925,5.88
1927,5.51
1930,0.72
1931,9.75
1932,1.16
1934,3.64
1934,6.05
1935,1.41
1937,1.08
1937,5.16
1940,4.02
194,10.37
1943,3.93
1944,1.21
1946,2.90
1948,5.67
1949,4.77
1950,1.37
1958,2.37
1962,3.74
1963,3.77
1963,5.44
1970,1.59
1971,0.40
1975,9.64
1975,9.99
1977,5.67
1978,6.78
1980,9.08
1981,7.62
1984,8.42
1986,4.38
1987,2.84
